+---------------------+------------------------------+-------------+
| Game fields's type  | Card's name                  | Usage count |
| Планета колдунов    | SABOTAGE                     |           0 |
| Небесный город      | SABOTAGE                     |         429 |
| Крепость            | SABOTAGE                     |         485 |
| Подземелье          | SABOTAGE                     |         487 |
| Космический корабль | SABOTAGE                     |         488 |
| Лес                 | SABOTAGE                     |         453 |
| Пустыня             | SABOTAGE                     |         472 |
| Город               | SABOTAGE                     |         521 |
| Планета колдунов    | INTERLOPER                   |           0 |
| Небесный город      | INTERLOPER                   |         466 |
| Крепость            | INTERLOPER                   |         507 |
| Подземелье          | INTERLOPER                   |         476 |
| Космический корабль | INTERLOPER                   |         471 |
| Лес                 | INTERLOPER                   |         472 |
| Пустыня             | INTERLOPER                   |         548 |
| Город               | INTERLOPER                   |         489 |
| Планета колдунов    | MARK TARGET                  |           0 |
| Небесный город      | MARK TARGET                  |         453 |
| Крепость            | MARK TARGET                  |         471 |
| Подземелье          | MARK TARGET                  |         486 |
| Космический корабль | MARK TARGET                  |         469 |
| Лес                 | MARK TARGET                  |         519 |
| Пустыня             | MARK TARGET                  |         480 |
| Город               | MARK TARGET                  |         487 |
| Планета колдунов    | TRIANGULATE                  |           0 |
| Небесный город      | TRIANGULATE                  |         464 |
| Крепость            | TRIANGULATE                  |         476 |
| Подземелье          | TRIANGULATE                  |         461 |
| Космический корабль | TRIANGULATE                  |         480 |
| Лес                 | TRIANGULATE                  |         496 |
| Пустыня             | TRIANGULATE                  |         481 |
| Город               | TRIANGULATE                  |         509 |
| Планета колдунов    | PLANT SIGNAL BEACON          |           0 |
| Небесный город      | PLANT SIGNAL BEACON          |         448 |
| Крепость            | PLANT SIGNAL BEACON          |         441 |
| Подземелье          | PLANT SIGNAL BEACON          |         536 |
| Космический корабль | PLANT SIGNAL BEACON          |         470 |
| Лес                 | PLANT SIGNAL BEACON          |         468 |
| Пустыня             | PLANT SIGNAL BEACON          |         487 |
| Город               | PLANT SIGNAL BEACON          |         473 |
| Планета колдунов    | VANTAGE                      |           0 |
| Небесный город      | VANTAGE                      |         421 |
| Крепость            | VANTAGE                      |         488 |
| Подземелье          | VANTAGE                      |         500 |
| Космический корабль | VANTAGE                      |         473 |
| Лес                 | VANTAGE                      |         440 |
| Пустыня             | VANTAGE                      |         473 |
| Город               | VANTAGE                      |         480 |
| Планета колдунов    | RETRIEVAL                    |           0 |
| Небесный город      | RETRIEVAL                    |         460 |
| Крепость            | RETRIEVAL                    |         496 |
| Подземелье          | RETRIEVAL                    |         484 |
| Космический корабль | RETRIEVAL                    |         455 |
| Лес                 | RETRIEVAL                    |         459 |
| Пустыня             | RETRIEVAL                    |         474 |
| Город               | RETRIEVAL                    |         483 |
| Планета колдунов    | OVERRUN                      |           0 |
| Небесный город      | OVERRUN                      |         447 |
| Крепость            | OVERRUN                      |         467 |
| Подземелье          | OVERRUN                      |         501 |
| Космический корабль | OVERRUN                      |         446 |
| Лес                 | OVERRUN                      |         457 |
| Пустыня             | OVERRUN                      |         464 |
| Город               | OVERRUN                      |         474 |
+---------------------+------------------------------+-------------+
192 rows in set (2.90 sec)
